objectid,nombre,direccion,tipozona,tipoemisio,so2,no2,o3,co,pm10,pm25,fecha_carg,calidad_ambiental
13,Francia,AVDA.FRANCIA,Urbana,Tráfico,1.0,3.0,83.0,0.0,47.0,31.0,2025-06-15T21:00:00+00:00,
16,Pista de Silla,PISTA DE SILLA,Urbana,Tráfico,0.0,3.0,91.0,0.0,47.0,26.0,2025-06-15T21:00:00+00:00,
17,Universidad Politécnica,POLITÈCNIC,Suburbana,Fondo,5.0,6.0,91.0,,41.0,23.0,2025-06-15T21:00:00+00:00,
20,Cabanyal,CABANYAL,Urbana,Fondo,,4.0,,,42.0,22.0,2025-06-15T21:00:00+00:00,
21,Olivereta,OLIVERETA,Urbana,Tráfico,,12.0,,,34.0,25.0,2025-06-15T21:00:00+00:00,
18,Viveros,VIVERS,Urbana,Fondo,1.0,0.0,101.0,,,,2025-06-13T19:00:00+00:00,
14,Boulevar Sur,BULEVARD SUD,Urbana,Tráfico,5.0,5.0,88.0,,,,2025-06-15T21:00:00+00:00,
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,Tráfico,4.0,9.0,93.0,0.0,33.0,22.0,2025-06-15T21:00:00+00:00,
12,Dr. Lluch,DR.LLUCH,Urbana,Tráfico,,6.0,,,34.0,17.0,2025-06-15T21:00:00+00:00,
19,Centro,VALÈNCIA CENTRE,Urbana,Tráfico,,6.0,,,38.0,25.0,2025-06-15T21:00:00+00:00,
22,Patraix,PATRAIX,Urbana,Tráfico,,7.0,,,34.0,22.0,2025-06-15T21:00:00+00:00,
objectid,nombre,direccion,tipozona,tipoemisio,so2,no2,o3,co,pm10,pm25,fecha_carg,calidad_ambiental
13,Francia,AVDA.FRANCIA,Urbana,Tráfico,1.0,3.0,83.0,0.0,47.0,31.0,2025-06-15T21:00:00+00:00,N/A
16,Pista de Silla,PISTA DE SILLA,Urbana,Tráfico,0.0,3.0,91.0,0.0,47.0,26.0,2025-06-15T21:00:00+00:00,N/A
17,Universidad Politécnica,POLITÈCNIC,Suburbana,Fondo,5.0,6.0,91.0,N/A,41.0,23.0,2025-06-15T21:00:00+00:00,N/A
20,Cabanyal,CABANYAL,Urbana,Fondo,N/A,4.0,N/A,N/A,42.0,22.0,2025-06-15T21:00:00+00:00,N/A
21,Olivereta,OLIVERETA,Urbana,Tráfico,N/A,12.0,N/A,N/A,34.0,25.0,2025-06-15T21:00:00+00:00,N/A
18,Viveros,VIVERS,Urbana,Fondo,1.0,0.0,101.0,N/A,N/A,N/A,2025-06-13T19:00:00+00:00,N/A
14,Boulevar Sur,BULEVARD SUD,Urbana,Tráfico,5.0,5.0,88.0,N/A,N/A,N/A,2025-06-15T21:00:00+00:00,N/A
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,Tráfico,4.0,9.0,93.0,0.0,33.0,22.0,2025-06-15T21:00:00+00:00,N/A
12,Dr. Lluch,DR.LLUCH,Urbana,Tráfico,N/A,6.0,N/A,N/A,34.0,17.0,2025-06-15T21:00:00+00:00,N/A
19,Centro,VALÈNCIA CENTRE,Urbana,Tráfico,N/A,6.0,N/A,N/A,38.0,25.0,2025-06-15T21:00:00+00:00,N/A
22,Patraix,PATRAIX,Urbana,Tráfico,N/A,7.0,N/A,N/A,34.0,22.0,2025-06-15T21:00:00+00:00,N/A
objectid,nombre,direccion,tipozona,tipoemisio,so2,no2,o3,co,pm10,pm25,fecha_carg,calidad_ambiental
13,Francia,AVDA.FRANCIA,Urbana,Tráfico,1.0,3.0,83.0,0.0,47.0,31.0,2025-06-15T21:00:00+00:00,N/A
16,Pista de Silla,PISTA DE SILLA,Urbana,Tráfico,0.0,3.0,91.0,0.0,47.0,26.0,2025-06-15T21:00:00+00:00,N/A
17,Universidad Politécnica,POLITÈCNIC,Suburbana,Fondo,5.0,6.0,91.0,N/A,41.0,23.0,2025-06-15T21:00:00+00:00,N/A
20,Cabanyal,CABANYAL,Urbana,Fondo,N/A,4.0,N/A,N/A,42.0,22.0,2025-06-15T21:00:00+00:00,N/A
21,Olivereta,OLIVERETA,Urbana,Tráfico,N/A,12.0,N/A,N/A,34.0,25.0,2025-06-15T21:00:00+00:00,N/A
18,Viveros,VIVERS,Urbana,Fondo,1.0,0.0,101.0,N/A,N/A,N/A,2025-06-13T19:00:00+00:00,N/A
14,Boulevar Sur,BULEVARD SUD,Urbana,Tráfico,5.0,5.0,88.0,N/A,N/A,N/A,2025-06-15T21:00:00+00:00,N/A
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,Tráfico,4.0,9.0,93.0,0.0,33.0,22.0,2025-06-15T21:00:00+00:00,N/A
12,Dr. Lluch,DR.LLUCH,Urbana,Tráfico,N/A,6.0,N/A,N/A,34.0,17.0,2025-06-15T21:00:00+00:00,N/A
19,Centro,VALÈNCIA CENTRE,Urbana,Tráfico,N/A,6.0,N/A,N/A,38.0,25.0,2025-06-15T21:00:00+00:00,N/A
22,Patraix,PATRAIX,Urbana,Tráfico,N/A,7.0,N/A,N/A,34.0,22.0,2025-06-15T21:00:00+00:00,N/A
